game_id,date,home_team,away_team,home_pitcher,away_pitcher,home_pitcher_era,home_pitcher_k9,away_pitcher_era,away_pitcher_k9,home_pitcher_yrfi_rate,away_pitcher_yrfi_rate,home_team_yrfi_rate,away_team_yrfi_rate,yrfi
706814,2022-04-01,Tampa Bay Rays,Boston Red Sox,Ryan Yarbrough,Rich Hill,,,,,,,,,0
706821,2022-04-01,St. Louis Cardinals,New York Mets,Connor Thomas,Félix Peña,,,,,,,,,0
706837,2022-04-01,San Francisco Giants,Texas Rangers,Alex Cobb,Kolby Allard,,,,,,,,,1
706844,2022-04-01,San Diego Padres,Kansas City Royals,Yu Darvish,Jonathan Heasley,,,,,,,,,1
706853,2022-04-01,Pittsburgh Pirates,Toronto Blue Jays,Jose Quintana,Yusei Kikuchi,,,,,,,,,0
706901,2022-04-01,Minnesota Twins,Atlanta Braves,Chris Archer,Max Fried,,,,,,,,,1
706910,2022-04-01,Milwaukee Brewers,Chicago Cubs,Luis Perdomo,Keegan Thompson,,,,,,,,,0
706936,2022-04-01,Los Angeles Angels,Cincinnati Reds,Reid Detmers,Riley O'Brien,,,,,,,,,1
706956,2022-04-01,Houston Astros,Miami Marlins,Luis Garcia,Jesús Luzardo,,,,,,,,,1
706961,2022-04-01,Detroit Tigers,New York Yankees,Tyler Alexander,Gerrit Cole,,,,,,,,,0
706970,2022-04-01,Colorado Rockies,Seattle Mariners,Kyle Freeland,Matt Brash,,,,,,,,,0
706982,2022-04-01,Cleveland Guardians,Arizona Diamondbacks,Zach Plesac,Tyler Gilbert,,,,,,,,,1
706998,2022-04-01,Chicago White Sox,Oakland Athletics,Dallas Keuchel,Adam Oller,,,,,,,,,1
707024,2022-04-01,Baltimore Orioles,Philadelphia Phillies,Jordan Lyles,Ranger Suárez,,,,,,,,,1
707046,2022-04-01,Arizona Diamondbacks,Chicago Cubs,Madison Bumgarner,Kyle Hendricks,,,,,,,,,0
706794,2022-04-02,Toronto Blue Jays,Philadelphia Phillies,José Berríos,Andrew Bellatti,,,,,,,,1.0,1
706804,2022-04-02,Texas Rangers,Cleveland Guardians,Matt Bush,Shane Bieber,,,,,,,,,0
706811,2022-04-02,Tampa Bay Rays,Minnesota Twins,Shane McClanahan,Devin Smeltzer,,,,,,,0.0,,0
706828,2022-04-02,Seattle Mariners,Milwaukee Brewers,Robbie Ray,Corbin Burnes,,,,,,,,,1
706875,2022-04-02,Oakland Athletics,Colorado Rockies,Paul Blackburn,Matt Dennis,,,,,,,,,1
706885,2022-04-02,New York Yankees,Atlanta Braves,Luis Severino,Spencer Strider,,,,,,,,1.0,1
706920,2022-04-02,Miami Marlins,Washington Nationals,Paul Campbell,Joan Adon,,,,,,,,,0
706927,2022-04-02,Los Angeles Dodgers,San Francisco Giants,Clayton Kershaw,Kervin Castro,,,,,,,,,0
706953,2022-04-02,Houston Astros,St. Louis Cardinals,Brandon Bielak,Kodi Whitley,,,,,,,1.0,,0
706962,2022-04-02,Detroit Tigers,Baltimore Orioles,Eduardo Rodriguez,John Means,,,,,,,0.0,,0
706990,2022-04-02,Cincinnati Reds,San Diego Padres,Tyler Mahle,Joe Musgrove,,,,,,,,,1
707004,2022-04-02,Chicago Cubs,Los Angeles Angels,Mark Leiter Jr.,Patrick Sandoval,,,,,,,,,1
707015,2022-04-02,Boston Red Sox,Pittsburgh Pirates,Nathan Eovaldi,JT Brubaker,,,,,,,,,0
707042,2022-04-02,Arizona Diamondbacks,Chicago White Sox,Merrill Kelly,Lance Lynn,,,,,,,0.0,,1
706785,2022-04-03,Washington Nationals,Houston Astros,Josiah Gray,Justin Verlander,,,,,,,,,0
706797,2022-04-03,Toronto Blue Jays,New York Yankees,Shaun Anderson,Luis Gil,,,,,,,1.0,0.0,1
706854,2022-04-03,Pittsburgh Pirates,Tampa Bay Rays,Mitch Keller,Drew Rasmussen,,,,,,,0.0,,1
706865,2022-04-03,Philadelphia Phillies,Detroit Tigers,Aaron Nola,Casey Mize,,,,,,,,,1
706873,2022-04-03,Oakland Athletics,San Diego Padres,Domingo Acevedo,Sean Manaea,,,,,,,1.0,1.0,0
706891,2022-04-03,New York Mets,Miami Marlins,Chris Bassitt,Pablo López,,,,,,,,0.0,1
706900,2022-04-03,Minnesota Twins,Baltimore Orioles,Sonny Gray,Dean Kremer,,,,,,,1.0,0.0,1
706911,2022-04-03,Milwaukee Brewers,Texas Rangers,Brandon Woodruff,Jon Gray,,,,,,,0.0,1.0,0
706937,2022-04-03,Los Angeles Angels,Los Angeles Dodgers,Noah Syndergaard,Walker Buehler,,,,,,,1.0,,1
706946,2022-04-03,Kansas City Royals,Seattle Mariners,Daniel Lynch IV,Logan Gilbert,,,,,,,,0.0,1
706977,2022-04-03,Cleveland Guardians,Chicago Cubs,Cal Quantrill,Jesse Chavez,,,,,,,1.0,0.0,0
706996,2022-04-03,Chicago White Sox,Colorado Rockies,Lucas Giolito,Brandon Gold,,,,,,,0.0,0.0,1
707034,2022-04-03,Atlanta Braves,Boston Red Sox,Huascar Ynoa,Nick Pivetta,,,,,,,,0.0,1
707041,2022-04-03,Arizona Diamondbacks,Cincinnati Reds,Corbin Martin,Nick Lodolo,,,,,,,0.5,0.0,0
706803,2022-04-04,Texas Rangers,San Diego Padres,Dane Dunning,Nick Martinez,,,,,,,0.0,0.5,1
706812,2022-04-04,Tampa Bay Rays,Atlanta Braves,Josh Fleming,Ian Anderson,,,,,,,0.0,0.5,0
706823,2022-04-04,St. Louis Cardinals,Washington Nationals,Miles Mikolas,Joan Adon,,,,,,,0.0,0.0,0
706827,2022-04-04,Seattle Mariners,Arizona Diamondbacks,Marco Gonzales,Caleb Smith,,,,,,,0.0,0.0,0
706874,2022-04-04,Oakland Athletics,San Francisco Giants,Cole Irvin,Anthony DeSclafani,,,,,,,0.5,0.0,0
706884,2022-04-04,New York Yankees,Philadelphia Phillies,JP Sears,Kyle Gibson,,,,,,,1.0,1.0,0
706898,2022-04-04,Minnesota Twins,Boston Red Sox,Bailey Ober,Tanner Houck,,,,,,,1.0,0.0,0
706928,2022-04-04,Los Angeles Dodgers,Los Angeles Angels,Julio Urías,José Suarez,,,,,,,0.0,1.0,1
706951,2022-04-04,Houston Astros,New York Mets,José Urquidy,Carlos Carrasco,,,,,,,0.5,0.0,1
706957,2022-04-04,Detroit Tigers,Toronto Blue Jays,Tarik Skubal,Kevin Gausman,,,,,,,0.0,0.0,0
706969,2022-04-04,Colorado Rockies,Milwaukee Brewers,,Freddy Peralta,,,,,,,0.0,1.0,1
706986,2022-04-04,Cincinnati Reds,Kansas City Royals,Vladimir Gutierrez,Brad Keller,,,,,,,1.0,1.0,1
707008,2022-04-04,Chicago Cubs,Chicago White Sox,Drew Smyly,Vince Velasquez,,,,,,,0.0,0.0,1
707023,2022-04-04,Baltimore Orioles,Pittsburgh Pirates,Bruce Zimmermann,Bryse Wilson,,,,,,,1.0,0.0,0
707043,2022-04-04,Arizona Diamondbacks,Cleveland Guardians,Zach Davies,Konnor Pilkington,,,,,,,0.3333333333333333,0.0,0
706787,2022-04-05,Washington Nationals,New York Mets,Erick Fedde,Taijuan Walker,,,,,,,0.0,0.0,0
706790,2022-04-05,Toronto Blue Jays,Baltimore Orioles,Alek Manoah,Tyler Wells,,,,,,,1.0,0.0,0
706805,2022-04-05,Texas Rangers,Chicago Cubs,Taylor Hearn,Michael Rucker,,,0.0,13.5,,0.0,0.5,0.0,1
706834,2022-04-05,San Francisco Giants,Oakland Athletics,Alex Wood,Daulton Jefferies,,,,,,,0.0,1.0,0
706843,2022-04-05,San Diego Padres,Chicago White Sox,Blake Snell,Michael Kopech,,,,,,,1.0,0.5,0
706862,2022-04-05,Philadelphia Phillies,Pittsburgh Pirates,Zach Eflin,Zach Thompson,,,,,,,1.0,0.0,1
706883,2022-04-05,New York Yankees,Detroit Tigers,Manny Bañuelos,Matt Manning,,,,,,,0.5,0.0,0
706908,2022-04-05,Milwaukee Brewers,Kansas City Royals,Adrian Houser,Carlos Hernández,,,,,,,0.0,0.5,0
